progress,lat,lon,path_id,origin,dest,geo_cluster,alt_cluster
0.5510204081632653,51.78587,0.21019,EGGW_LLBG_0_1,EGGW,LLBG,0,1
0.5714285714285714,51.78587,0.21019,EGGW_LLBG_0_1,EGGW,LLBG,0,1
0.5918367346938775,51.78587,0.21019,EGGW_LLBG_0_1,EGGW,LLBG,0,1
0.6122448979591836,51.78587,0.21019,EGGW_LLBG_0_1,EGGW,LLBG,0,1
0.6326530612244897,51.78587,0.21019,EGGW_LLBG_0_1,EGGW,LLBG,0,1
0.6530612244897959,51.78587,0.21019,EGGW_LLBG_0_1,EGGW,LLBG,0,1
0.673469387755102,51.78587,0.21019,EGGW_LLBG_0_1,EGGW,LLBG,0,1
0.6938775510204082,51.78587,0.21019,EGGW_LLBG_0_1,EGGW,LLBG,0,1
0.7142857142857142,51.78587,0.21019,EGGW_LLBG_0_1,EGGW,LLBG,0,1
0.7346938775510203,51.78587,0.21019,EGGW_LLBG_0_1,EGGW,LLBG,0,1
0.7551020408163265,51.78587,0.21019,EGGW_LLBG_0_1,EGGW,LLBG,0,1
0.7755102040816326,51.78587,0.21019,EGGW_LLBG_0_1,EGGW,LLBG,0,1
0.7959183673469387,51.78587,0.21019,EGGW_LLBG_0_1,EGGW,LLBG,0,1
0.8163265306122448,51.78587,0.21019,EGGW_LLBG_0_1,EGGW,LLBG,0,1
0.836734693877551,51.78587,0.21019,EGGW_LLBG_0_1,EGGW,LLBG,0,1
0.8571428571428571,51.78587,0.21019,EGGW_LLBG_0_1,EGGW,LLBG,0,1
0.8775510204081632,51.78587,0.21019,EGGW_LLBG_0_1,EGGW,LLBG,0,1
0.8979591836734693,51.78587,0.21019,EGGW_LLBG_0_1,EGGW,LLBG,0,1
0.9183673469387754,51.78587,0.21019,EGGW_LLBG_0_1,EGGW,LLBG,0,1
0.9387755102040816,51.78587,0.21019,EGGW_LLBG_0_1,EGGW,LLBG,0,1
0.9591836734693877,51.78587,0.21019,EGGW_LLBG_0_1,EGGW,LLBG,0,1
0.9795918367346939,51.78587,0.21019,EGGW_LLBG_0_1,EGGW,LLBG,0,1
1.0,51.78587,0.21019,EGGW_LLBG_0_1,EGGW,LLBG,0,1
0.0,51.78988,0.38261,EGGW_LLBG_1_0,EGGW,LLBG,1,0
0.02040816326530612,51.79215306122449,0.39785530612244896,EGGW_LLBG_1_0,EGGW,LLBG,1,0
0.04081632653061224,51.795451020408166,0.4171326530612245,EGGW_LLBG_1_0,EGGW,LLBG,1,0
0.061224489795918366,51.798983877551024,0.4373485714285714,EGGW_LLBG_1_0,EGGW,LLBG,1,0
0.08163265306122448,51.79965,0.44128,EGGW_LLBG_1_0,EGGW,LLBG,1,0
0.1020408163265306,51.79965,0.44128,EGGW_LLBG_1_0,EGGW,LLBG,1,0
0.12244897959183673,51.79965,0.44128,EGGW_LLBG_1_0,EGGW,LLBG,1,0
0.14285714285714285,51.79965,0.44128,EGGW_LLBG_1_0,EGGW,LLBG,1,0
0.16326530612244897,51.79965,0.44128,EGGW_LLBG_1_0,EGGW,LLBG,1,0
0.18367346938775508,51.79965,0.44128,EGGW_LLBG_1_0,EGGW,LLBG,1,0
0.2040816326530612,51.79965,0.44128,EGGW_LLBG_1_0,EGGW,LLBG,1,0
0.22448979591836732,51.79965,0.44128,EGGW_LLBG_1_0,EGGW,LLBG,1,0
0.24489795918367346,51.79965,0.44128,EGGW_LLBG_1_0,EGGW,LLBG,1,0
0.26530612244897955,51.79965,0.44128,EGGW_LLBG_1_0,EGGW,LLBG,1,0
0.2857142857142857,51.79965,0.44128,EGGW_LLBG_1_0,EGGW,LLBG,1,0
0.3061224489795918,51.79965,0.44128,EGGW_LLBG_1_0,EGGW,LLBG,1,0
0.32653061224489793,51.79965,0.44128,EGGW_LLBG_1_0,EGGW,LLBG,1,0
0.3469387755102041,51.79965,0.44128,EGGW_LLBG_1_0,EGGW,LLBG,1,0
0.36734693877551017,51.79965,0.44128,EGGW_LLBG_1_0,EGGW,LLBG,1,0
0.3877551020408163,51.79965,0.44128,EGGW_LLBG_1_0,EGGW,LLBG,1,0
0.4081632653061224,51.79965,0.44128,EGGW_LLBG_1_0,EGGW,LLBG,1,0
0.42857142857142855,51.79965,0.44128,EGGW_LLBG_1_0,EGGW,LLBG,1,0
0.44897959183673464,51.79965,0.44128,EGGW_LLBG_1_0,EGGW,LLBG,1,0
0.4693877551020408,51.79965,0.44128,EGGW_LLBG_1_0,EGGW,LLBG,1,0
0.4897959183673469,51.79965,0.44128,EGGW_LLBG_1_0,EGGW,LLBG,1,0
0.5102040816326531,51.79965,0.44128,EGGW_LLBG_1_0,EGGW,LLBG,1,0
0.5306122448979591,51.79965,0.44128,EGGW_LLBG_1_0,EGGW,LLBG,1,0
0.5510204081632653,51.79965,0.44128,EGGW_LLBG_1_0,EGGW,LLBG,1,0
0.5714285714285714,51.79965,0.44128,EGGW_LLBG_1_0,EGGW,LLBG,1,0
0.5918367346938775,51.79965,0.44128,EGGW_LLBG_1_0,EGGW,LLBG,1,0
0.6122448979591836,51.79965,0.44128,EGGW_LLBG_1_0,EGGW,LLBG,1,0
0.6326530612244897,51.79965,0.44128,EGGW_LLBG_1_0,EGGW,LLBG,1,0
0.6530612244897959,51.79965,0.44128,EGGW_LLBG_1_0,EGGW,LLBG,1,0
0.673469387755102,51.79965,0.44128,EGGW_LLBG_1_0,EGGW,LLBG,1,0
0.6938775510204082,51.79965,0.44128,EGGW_LLBG_1_0,EGGW,LLBG,1,0
0.7142857142857142,51.79965,0.44128,EGGW_LLBG_1_0,EGGW,LLBG,1,0
0.7346938775510203,51.79965,0.44128,EGGW_LLBG_1_0,EGGW,LLBG,1,0
0.7551020408163265,51.79965,0.44128,EGGW_LLBG_1_0,EGGW,LLBG,1,0
0.7755102040816326,51.79965,0.44128,EGGW_LLBG_1_0,EGGW,LLBG,1,0
0.7959183673469387,51.79965,0.44128,EGGW_LLBG_1_0,EGGW,LLBG,1,0
0.8163265306122448,51.79965,0.44128,EGGW_LLBG_1_0,EGGW,LLBG,1,0
0.836734693877551,51.79965,0.44128,EGGW_LLBG_1_0,EGGW,LLBG,1,0
0.8571428571428571,51.79965,0.44128,EGGW_LLBG_1_0,EGGW,LLBG,1,0
0.8775510204081632,51.79965,0.44128,EGGW_LLBG_1_0,EGGW,LLBG,1,0
0.8979591836734693,51.79965,0.44128,EGGW_LLBG_1_0,EGGW,LLBG,1,0
0.9183673469387754,51.79965,0.44128,EGGW_LLBG_1_0,EGGW,LLBG,1,0
0.9387755102040816,51.79965,0.44128,EGGW_LLBG_1_0,EGGW,LLBG,1,0
0.9591836734693877,51.79965,0.44128,EGGW_LLBG_1_0,EGGW,LLBG,1,0
0.9795918367346939,51.79965,0.44128,EGGW_LLBG_1_0,EGGW,LLBG,1,0
1.0,51.79965,0.44128,EGGW_LLBG_1_0,EGGW,LLBG,1,0
0.0,52.11571,1.97655,EGGW_LLBG_2_0,EGGW,LLBG,2,0
0.02040816326530612,52.117705102040816,1.9979910204081632,EGGW_LLBG_2_0,EGGW,LLBG,2,0
0.04081632653061224,52.1190793877551,2.0298479591836736,EGGW_LLBG_2_0,EGGW,LLBG,2,0
0.061224489795918366,52.11872795918367,2.0606077551020405,EGGW_LLBG_2_0,EGGW,LLBG,2,0
0.08163265306122448,52.1172618367347,2.0924661224489793,EGGW_LLBG_2_0,EGGW,LLBG,2,0
0.1020408163265306,52.11589,2.11899,EGGW_LLBG_2_0,EGGW,LLBG,2,0
0.12244897959183673,52.11589,2.11899,EGGW_LLBG_2_0,EGGW,LLBG,2,0
0.14285714285714285,52.11589,2.11899,EGGW_LLBG_2_0,EGGW,LLBG,2,0
